codice,nome,categoria,punti,dataInizio,dataFine
912363,Tappeto,Arredo e cura della casa,5800,2017-10-11,2018-10-10
912400,Grill,Tavola e cucina,10900,2018-10-11,2019-10-10
912401,Tostafette,Tavola e cucina,6900,2019-10-11,2020-10-10
912398,Frullatore,Tavola e cucina,11900,2016-10-11,2017-10-10
912225,Robot da cucina,Tavola e cucina,44900,2017-10-11,2018-10-10
912541,Bottiglia,Tavola e cucina,2500,2018-10-11,2019-10-10
912440,Bicchierini,Tavola e cucina,3500,2019-10-11,2020-10-10
912734,Contenitore raccolta differenziata,Tavola e cucina,9900,2016-10-11,2017-10-10
912192,Samsung frigorifero combinato,Tavola e cucina,69900,2017-10-11,2018-10-10
912738,Vaso,Arredo e cura della casa,9900,2018-10-11,2019-10-10
912682,Portariviste,Arredo e cura della casa,9900,2019-10-11,2020-10-10
912684,Lampada,Arredo e cura della casa,8900,2016-10-11,2017-10-10
912372,Cuscino arredo,Arredo e cura della casa,5200,2017-10-11,2018-10-10
912182,Completo copripiumino matrimoniale,Arredo e cura della casa,10900,2018-10-11,2019-10-10
912178,Piumino singolo,Arredo e cura della casa,17900,2019-10-11,2020-10-10
912368,Quilt matrimoniale,Arredo e cura della casa,14600,2016-10-11,2017-10-10
912367,Completo letto matrimoniale,Arredo e cura della casa,10800,2017-10-11,2018-10-10
912685,Lampada da tavolo,Arredo e cura della casa,17900,2018-10-11,2019-10-10
912653,Pouf contenitore,Arredo e cura della casa,3400,2019-10-11,2020-10-10
912324,Kit striscia led 10 metri rgb wifi,Arredo e cura della casa,4700,2016-10-11,2017-10-10
912737,Robot aspirapolvere,Arredo e cura della casa,59900,2017-10-11,2018-10-10
912224,Aspirapolvere senza filo,Arredo e cura della casa,20900,2018-10-11,2019-10-10
912223,Caldaia e stiro verticale,Arredo e cura della casa,21400,2019-10-11,2020-10-10
912204,Tv 49'',Stile e tecno,84900,2016-10-11,2017-10-10
912395,Cuffia,Stile e tecno,15900,2017-10-11,2018-10-10
912390,Giradischi,Stile e tecno,17900,2018-10-11,2019-10-10
912211,Diffusore wireless e bluetooth,Stile e tecno,73900,2019-10-11,2020-10-10
912184,Partybox,Stile e tecno,23400,2016-10-11,2017-10-10
912388,Gaming kit,Stile e tecno,11600,2017-10-11,2018-10-10
912205,Radio fm/dab+ e speaker bluetooth,Stile e tecno,20900,2018-10-11,2019-10-10
912391,Rialzo per monitor multiporta,Stile e tecno,6500,2019-10-11,2020-10-10
912686,Tracolla,Stile e tecno,5900,2016-10-11,2017-10-10
912732,Porta documenti,Stile e tecno,2400,2017-10-11,2018-10-10
912692,Bracciale viola provenza,Stile e tecno,3700,2018-10-11,2019-10-10
912693,Bracciale arcobaleno dorato,Stile e tecno,3800,2019-10-11,2020-10-10
912690,Orecchini,Stile e tecno,2700,2016-10-11,2017-10-10
912694,Occhiali da sole,Stile e tecno,4700,2017-10-11,2018-10-10
912688,Orologio,Stile e tecno,3000,2018-10-11,2019-10-10
912719,Set regalo penne,Stile e tecno,2700,2019-10-11,2020-10-10
912394,Supporto smartphone,Stile e tecno,1000,2016-10-11,2017-10-10
912325,Piastra vapore,Bellezza e salute,5400,2017-10-11,2018-10-10
912329,Asciugacapelli,Bellezza e salute,4100,2018-10-11,2019-10-10
912371,Biancheria bagno,Bellezza e salute,2200,2019-10-11,2020-10-10
912337,Elettro stimolatore,Bellezza e salute,4400,2016-10-11,2017-10-10
912327,Rasoio,Bellezza e salute,7400,2017-10-11,2018-10-10
912330,Regolabarba tagliacapelli,Bellezza e salute,2900,2018-10-11,2019-10-10
912331,Grooming kit,Bellezza e salute,5200,2019-10-11,2020-10-10
912334,Misuratore di pressione da polso,Bellezza e salute,9700,2016-10-11,2017-10-10
912247,Calciobalilla,Tempo libero,42900,2017-10-11,2018-10-10
912393,Braccialetto fitness,Tempo libero,13400,2018-10-11,2019-10-10
912212,Monopattino elettrico,Tempo libero,37900,2019-10-11,2020-10-10
912250,Mountain bike modello nava lady,Tempo libero,37900,2016-10-11,2017-10-10
912249,Mountain bike modello giovi,Tempo libero,31900,2017-10-11,2018-10-10
912177,Airbag per motociclisti,Tempo libero,23900,2018-10-11,2019-10-10
912300,Casco mini jet,Tempo libero,7900,2019-10-11,2020-10-10
912241,Valigia spinner 55,Tempo libero,23900,2016-10-11,2017-10-10
912242,Valigia spinner 69,Tempo libero,25900,2017-10-11,2018-10-10
912197,Action camera,Tempo libero,47900,2018-10-11,2019-10-10
912396,Auricolare,Tempo libero,9900,2019-10-11,2020-10-10
912244,Tapis roulant,Tempo libero,37900,2016-10-11,2017-10-10
912392,Smartwatch,Tempo libero,18900,2017-10-11,2018-10-10
912718,Torcia ricaricabile,Tempo libero,2800,2018-10-11,2019-10-10
912639,Coltello multiuso,Tempo libero,6400,2019-10-11,2020-10-10
912231,Barbecue a carbone,Tempo libero,18900,2016-10-11,2017-10-10
912174,Sedia dondolo con due cuscini,Tempo libero,19900,2017-10-11,2018-10-10
912287,Libro le meraviglie del mondo,Tempo libero,1900,2018-10-11,2019-10-10
912299,Kit fiorera con sottovaso e ciotola,Tempo libero,4400,2019-10-11,2020-10-10
912173,Set irrigatore,Tempo libero,21400,2016-10-11,2017-10-10
912311,Sedia sdraio da giardino,Tempo libero,7300,2017-10-11,2018-10-10
912321,Rasabordi con due batterie,Tempo libero,11400,2018-10-11,2019-10-10
912407,Cuscinetto antiabbandono,Bimbi,5500,2019-10-11,2020-10-10
912228,Seggiolino auto con cuscinetto antiabbandono,Bimbi,17900,2016-10-11,2017-10-10
912720,Domino morbido,Bimbi,1600,2017-10-11,2018-10-10
912722,Bambola con accessori,Bimbi,3300,2018-10-11,2019-10-10
912723,Gioco a incastro trainabile,Bimbi,2300,2019-10-11,2020-10-10
912725,Raccontastorie,Bimbi,5000,2016-10-11,2017-10-10
912259,Bici senza pedali,Bimbi,10900,2017-10-11,2018-10-10
912724,Pasta modellabile,Bimbi,2400,2018-10-11,2019-10-10
912727,Supermercato portatile,Bimbi,3700,2019-10-11,2020-10-10
912729,Dinosauri con caverna,Bimbi,4800,2016-10-11,2017-10-10
912726,Gioco di coding,Bimbi,1600,2017-10-11,2018-10-10
912728,Set colazione da dipingere,Bimbi,2000,2018-10-11,2019-10-10
912698,Occhiali da sole,Bimbi,4500,2019-10-11,2020-10-10
912731,Gioco da tavolo,Bimbi,2900,2016-10-11,2017-10-10
912296,Le grandi enciclopedie,Bimbi,3900,2017-10-11,2018-10-10
912240,Acquario,Animali,25900,2018-10-11,2019-10-10
912678,Ciotola e sottociotola cane,Animali,3000,2019-10-11,2020-10-10
912672,Borsa trasportino gatto,Animali,6400,2016-10-11,2017-10-10
912677,Kit viaggio gatto,Animali,3900,2017-10-11,2018-10-10
912679,Kit viaggio cane,Animali,3900,2018-10-11,2019-10-10
903418,Visita con degustazione michele chiarlo,Idee,2300,2019-10-11,2020-10-10
903420,Visita con degustazione il bosco,Idee,1600,2016-10-11,2017-10-10
903416,Visita con degustazione guido berlucchi,Idee,2900,2017-10-11,2018-10-10
903415,Visita con degustazione masi,Idee,2900,2018-10-11,2019-10-10
903419,Visita con degustazione umberto cesari,Idee,2900,2019-10-11,2020-10-10
903458,Visita con degustazione castello di volpaia,Idee,2600,2016-10-11,2017-10-10
903451,Visita con degustazione la braccesca,Idee,2300,2017-10-11,2018-10-10
903452,Visita con degustazione le mortelle,Idee,2300,2018-10-11,2019-10-10
